"Bill To:","Bill To:"
"Billing","Billing"
"Billing address","Billing address"
"ending","ending"
"Error","Error"
"expires","expires"
"Finalization","Finalization"
"Payment Method:","Payment Method:"
"Place order","Place order"
"Saved Credit Card","Saved Credit Card"
"The payment method is missing. Select the payment method and try again.","The payment method is missing. Select the payment method and try again."
"Three Steps Checkout module requires shareable billing address. Please set """Configuration > Sales > Checkout > Checkout Options > Display Billing Address On"" to """Payment Page"".","Three Steps Checkout module requires shareable billing address. Please set """Configuration > Sales > Checkout > Checkout Options > Display Billing Address On"" to """Payment Page""."